,time,open,high,low,close
537,2017-11-06,296.65,304.9,292.0,298.51
538,2017-11-07,298.51,304.0,287.0,292.0
539,2017-11-08,292.07,319.89,290.27,310.5
540,2017-11-09,310.51,329.47,307.01,318.49
541,2017-11-10,318.49,325.12,291.3,301.61
542,2017-11-11,301.61,319.94,297.67,316.01
543,2017-11-12,316.02,317.59,301.04,306.07
544,2017-11-13,306.08,319.0,306.0,314.66
545,2017-11-14,314.66,336.91,314.4,332.51
546,2017-11-15,332.51,340.84,326.0,329.35
547,2017-11-16,329.35,334.8,321.91,330.19
548,2017-11-17,330.16,334.3,326.46,332.53
549,2017-11-18,332.45,348.43,328.22,348.42
550,2017-11-19,348.42,374.7,344.0,358.7
551,2017-11-20,358.7,373.75,354.2,371.65
552,2017-11-21,371.65,372.99,350.5,358.5
553,2017-11-22,358.5,379.75,358.0,378.8
554,2017-11-23,378.8,428.6,376.04,423.8
555,2017-11-24,423.8,469.5,401.0,462.69
556,2017-11-25,462.69,488.0,456.0,470.51
557,2017-11-26,470.52,477.65,451.81,473.75
558,2017-11-27,473.75,492.99,462.1,478.32
559,2017-11-28,478.28,483.0,463.6,469.48
560,2017-11-29,469.47,518.13,402.11,442.71
561,2017-11-30,442.71,470.0,401.5,435.89
562,2017-12-01,435.85,468.43,421.57,461.89
563,2017-12-02,461.89,474.96,451.21,461.29
564,2017-12-03,461.28,483.61,450.0,465.5
565,2017-12-04,465.53,473.0,449.4,465.52
566,2017-12-05,465.58,470.0,451.56,459.1
567,2017-12-06,459.1,461.99,425.01,432.05
568,2017-12-07,432.06,448.89,415.01,433.37
569,2017-12-08,433.38,479.1,420.01,465.1
570,2017-12-09,464.74,535.1,450.0,483.11
571,2017-12-10,483.1,488.04,438.0,445.02
572,2017-12-11,445.01,487.34,440.44,481.85
573,2017-12-12,483.38,669.9,482.19,653.01
574,2017-12-13,653.02,784.77,606.0,701.97
575,2017-12-14,701.98,758.61,660.83,697.42
576,2017-12-15,697.42,706.0,618.0,690.53
577,2017-12-16,690.86,735.0,680.0,695.12
578,2017-12-17,695.12,746.93,694.12,737.51
579,2017-12-18,737.51,798.81,695.0,784.06
580,2017-12-19,784.06,875.0,770.03,816.73
581,2017-12-20,816.06,833.6,701.0,792.99
582,2017-12-21,792.99,845.0,767.15,795.91
583,2017-12-22,795.01,799.95,460.0,731.99
584,2017-12-23,732.0,774.99,650.4,744.0
585,2017-12-24,744.01,750.0,641.14,685.98
586,2017-12-25,685.99,759.88,685.0,742.0
587,2017-12-26,742.0,771.0,738.07,745.4
588,2017-12-27,745.4,767.0,706.0,737.59
589,2017-12-28,737.59,743.94,676.03,711.76
590,2017-12-29,711.77,755.0,710.11,745.46
591,2017-12-30,745.46,749.95,691.1,721.99
592,2017-12-31,721.99,751.0,699.0,743.01
593,2018-01-01,743.01,764.97,727.14,754.42
594,2018-01-02,754.39,878.5,753.04,860.0
595,2018-01-03,859.99,947.0,850.11,943.39
596,2018-01-04,943.4,994.89,906.01,949.32
597,2018-01-05,949.32,1015.0,935.0,953.43
598,2018-01-06,953.4,1009.11,950.0,1003.78
599,2018-01-07,1003.78,1098.87,1002.38,1090.35
600,2018-01-08,1090.35,1228.99,950.0,1133.0
601,2018-01-09,1133.0,1297.0,1110.0,1263.76
602,2018-01-10,1263.76,1386.99,1207.61,1244.27
603,2018-01-11,1241.41,1335.0,1100.0,1128.79
604,2018-01-12,1128.79,1285.0,1083.97,1245.0
605,2018-01-13,1245.0,1419.96,1241.27,1392.24
606,2018-01-14,1392.24,1393.12,1256.01,1346.86
607,2018-01-15,1347.6,1380.97,1281.1,1302.0
608,2018-01-16,1301.99,1303.35,852.0,1035.59
609,2018-01-17,1035.59,1165.0,757.0,1005.01
610,2018-01-18,1005.0,1100.0,951.0,1022.51
611,2018-01-19,1022.51,1093.0,993.4,1019.13
612,2018-01-20,1019.12,1164.97,1018.0,1155.01
613,2018-01-21,1155.0,1155.01,1010.01,1015.0
614,2018-01-22,1015.0,1080.0,917.0,986.0
615,2018-01-23,987.19,1019.0,905.0,1002.79
616,2018-01-24,1002.79,1051.94,952.0,1033.5
617,2018-01-25,1033.5,1098.74,1014.88,1053.45
618,2018-01-26,1053.45,1071.75,987.54,1026.31
619,2018-01-27,1026.31,1119.0,1025.78,1108.81
620,2018-01-28,1107.22,1224.0,1081.05,1209.9
621,2018-01-29,1209.9,1221.74,1137.2,1150.5
622,2018-01-30,1150.5,1171.0,1025.0,1070.09
623,2018-01-31,1073.03,1121.03,1013.25,1093.0
624,2018-02-01,1092.99,1143.0,930.0,998.0
625,2018-02-02,997.99,1029.95,726.43,906.01
626,2018-02-03,906.01,998.0,841.61,960.0
627,2018-02-04,960.0,970.4,783.27,848.0
628,2018-02-05,848.0,857.5,614.02,688.0
629,2018-02-06,688.01,807.5,555.56,774.72
630,2018-02-07,774.73,864.68,718.03,792.12
631,2018-02-08,792.17,843.0,740.0,808.0
632,2018-02-09,807.99,879.2,780.0,863.86
633,2018-02-10,863.85,908.76,815.0,854.0
634,2018-02-11,854.0,855.0,780.0,833.0
635,2018-02-12,832.99,874.03,809.0,867.0
636,2018-02-13,867.0,872.85,826.0,838.95
637,2018-02-14,838.94,924.7,838.03,920.98
638,2018-02-15,920.99,948.23,905.49,931.5
639,2018-02-16,931.49,944.92,910.8,939.93
640,2018-02-17,939.93,973.73,933.75,973.0
641,2018-02-18,972.85,982.99,909.1,917.9
642,2018-02-19,917.9,956.0,911.0,935.04
643,2018-02-20,935.03,958.0,881.0,893.01
644,2018-02-21,893.01,908.17,817.01,840.5
645,2018-02-22,840.5,870.0,790.01,807.3
646,2018-02-23,807.3,883.89,786.0,852.34
647,2018-02-24,852.34,874.66,808.37,831.0
648,2018-02-25,831.01,849.26,816.89,847.16
649,2018-02-26,847.14,877.5,835.0,868.03
650,2018-02-27,868.03,894.0,860.5,876.7
651,2018-02-28,876.41,887.5,856.32,858.01
652,2018-03-01,858.0,878.0,845.54,869.18
653,2018-03-02,869.09,873.12,845.85,855.98
654,2018-03-03,855.99,866.72,851.04,855.85
655,2018-03-04,855.95,865.0,836.3,860.0
656,2018-03-05,859.99,866.0,850.0,853.93
657,2018-03-06,853.76,854.5,800.89,818.27
658,2018-03-07,818.2,825.0,724.0,756.02
659,2018-03-08,756.02,774.0,686.0,691.94
660,2018-03-09,691.89,712.12,641.6,712.1
661,2018-03-10,712.1,749.0,680.2,690.78
662,2018-03-11,690.78,735.0,666.0,721.01
663,2018-03-12,721.0,739.0,678.0,690.11
664,2018-03-13,690.1,713.45,679.78,688.65
665,2018-03-14,688.66,702.5,585.52,602.27
666,2018-03-15,602.27,621.47,571.16,614.0
667,2018-03-16,614.0,626.13,585.0,610.72
668,2018-03-17,610.73,611.49,541.11,563.6
669,2018-03-18,563.6,587.74,450.0,530.84
670,2018-03-19,530.84,560.9,516.4,538.96
671,2018-03-20,538.96,567.04,515.97,561.26
672,2018-03-21,561.25,589.75,545.2,555.35
673,2018-03-22,555.26,578.73,517.6,537.8
674,2018-03-23,537.8,543.87,507.84,531.52
675,2018-03-24,531.52,545.94,524.01,526.5
676,2018-03-25,526.51,536.0,510.2,524.5
677,2018-03-26,524.5,525.88,466.1,493.81
678,2018-03-27,493.8,497.62,445.0,459.85
679,2018-03-28,459.86,464.89,439.18,446.09
680,2018-03-29,446.09,448.0,379.1,388.93
681,2018-03-30,389.26,411.0,365.0,387.1
682,2018-03-31,387.09,438.77,385.01,396.41
683,2018-04-01,396.4,400.65,360.0,377.11
684,2018-04-02,377.8,393.96,375.36,382.99
685,2018-04-03,382.98,421.59,380.89,413.0
686,2018-04-04,412.99,418.0,370.08,376.31
687,2018-04-05,376.31,387.2,366.54,383.77
688,2018-04-06,383.66,386.21,363.33,367.71
689,2018-04-07,367.7,395.9,367.01,385.57
690,2018-04-08,385.56,404.4,383.54,399.78
691,2018-04-09,399.78,432.0,388.0,392.45
692,2018-04-10,392.45,418.26,392.25,411.08
693,2018-04-11,410.66,424.94,409.81,423.1
694,2018-04-12,423.1,492.14,413.81,492.14
695,2018-04-13,492.14,529.36,481.18,495.09
696,2018-04-14,495.1,513.86,488.0,507.42
697,2018-04-15,507.42,529.99,501.59,528.9
698,2018-04-16,528.9,537.5,498.29,506.8
699,2018-04-17,506.8,522.0,500.49,503.72
700,2018-04-18,503.71,526.05,500.5,522.42
701,2018-04-19,522.41,565.56,521.18,560.38
702,2018-04-20,560.72,622.22,557.4,615.0
703,2018-04-21,615.04,624.21,571.61,603.25
704,2018-04-22,603.24,643.47,590.7,630.93
705,2018-04-23,630.93,647.47,616.88,641.23
706,2018-04-24,641.23,711.0,641.1,703.3
707,2018-04-25,703.3,707.25,578.75,622.11
708,2018-04-26,622.11,662.34,600.0,661.04
709,2018-04-27,660.81,685.91,640.0,653.32
710,2018-04-28,653.32,693.15,638.33,685.9
